ID,Start time,Completion time,Earlierwfh,Isguidelines,Guidelinesgiven,Devices,Useofdevicesbyothers,Assets,Devicesmanaged,Devicespec,Thirdpartyenv,Please describe how you obtain access to your corporate working environment.,"Were you asked to use applications or services that you were unfamiliar with, because of the need for remote working?",Awareness,Has your company adopted a specific collaboration solution?,Skills,Issues,Othercyberissues,Preference,WFHResults,I collaborate with my colleagues as effectively as when we are in office.,Satisfaction,"I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).",I am proud to work for my organization.,I have access to the things I need to do my job well.,Age,Qualification,Role,Businessdomain,Designation,Comments
15,2020-08-04 14:46:29,2020-08-04 14:49:59,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Teleconferencing;,Phishing;,No,Agree,Strongly agree,Undecided,Agree,Agree,Strongly agree,Strongly agree,35-44 years old,Doctorate degree,Education & Research,No,Researcher,No
16,2020-08-04 14:49:40,2020-08-04 14:53:46,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Disagree,Undecided,Undecided,Agree,Undecided,Undecided,Agree,25-34 years old,Master’s degree,IT (Information Technology),No,IT professional,No
17,2020-08-04 14:47:51,2020-08-04 14:53:52,Yes,No,No,Laptop;Smartphone;,Yes,Personal assets,No,Password protection;Automatic screen lock;,Using VPN ,No,No,No,No,No,None;,No,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Undecided,Strongly agree,35-44 years old,Master’s degree,Education & Research,No,IT professional,No
18,2020-08-04 14:57:49,2020-08-04 15:00:28,Yes,No,No,Laptop;Smartphone;,No,Corporate assets,"Yes, partly",Automatic screen lock;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,Phishing;,No,Undecided,Undecided,Agree,Agree,Disagree,Agree,Agree,25-34 years old,Master’s degree,Education & Research,No,Researcher,No
19,2020-08-04 15:04:23,2020-08-04 15:06:47,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,No,No,None;,No,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,25-34 years old,Master’s degree,IT (Information Technology),No,IT professional,No
20,2020-08-04 14:55:12,2020-08-04 15:11:04,Yes,Yes,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,No,None;,No,Undecided,Agree,Agree,Strongly agree,Undecided,Strongly agree,Agree,35-44 years old,No,EPES (Electrical Power & Energy Systems),No,Other,No
21,2020-08-04 14:46:32,2020-08-04 15:11:28,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Undecided,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,Education & Research,No,Researcher,No
22,2020-08-04 15:16:36,2020-08-04 15:19:12,No,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Antivirus software installed;,Using VPN ,No,Yes,Nothing of the above;,No,No,None;,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Undecided,Undecided,35-44 years old,Master’s degree,Banking & Financial,No,IT professional,No
23,2020-08-04 15:17:27,2020-08-04 15:22:30,Yes,No,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Teleconferencing;,None;,No,Undecided,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,45-54 years old,Master’s degree,Other,Consulting ,Manager,No
24,2020-08-04 15:21:58,2020-08-04 15:23:41,No,No,No,Desktop;,Yes,Corporate assets,No,Password protection;Antivirus software installed;,No Access,No,No,No,No,No,Data loss;,No,Disagree,Strongly disagree,Strongly disagree,Undecided,Disagree,Undecided,Undecided,25-34 years old,Associate degree,Public Sector,No,Other,No
25,2020-08-04 15:23:47,2020-08-04 15:26:13,Yes,Yes,"use passwords on company laptop, install antivirus",Laptop;,Yes,Personal assets,No,Password protection;Automatic screen lock;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,Yes,Instructions provided via email;,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Disagree,Undecided,Strongly disagree,Undecided,Agree,Undecided,55-64 years old,Professional degree,IT (Information Technology),No,Other,No
26,2020-08-04 15:27:03,2020-08-04 15:32:12,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;Two-factor authentication;Automatic screen lock;Antivirus software installed;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Undecided,Agree,18-24 years old,Bachelor’s degree,IT (Information Technology),No,Researcher,No
27,2020-08-04 15:32:09,2020-08-04 15:35:59,No,Yes,No,Laptop;,No,Corporate assets,"Yes, partly",Two-factor authentication;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,Yes,Instructions available to the corporate portal or website;,Yes,Project/Workflow/Task management;Real-time chatting;Teleconferencing;,None;,No,Agree,Agree,Disagree,Agree,Disagree,Undecided,Agree,35-44 years old,"High school graduate, diploma or the equivalent",IT (Information Technology),No,Manager,No
28,2020-08-04 15:23:50,2020-08-04 15:36:03,Yes,Yes,"System access
Separate work and personal devices
Secure connections ",Laptop;Smartphone;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Direct access,No,No,No,Yes,Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Doctorate degree,IT (Information Technology),No,Manager,"This is a big adjustment for many people. Your first few days of WFH may leave you irritated, uncomfortable, unmotivated, or just plain exhausted. Adding security tips to the list may just add to your fatigue right now. We understand. Take it a day at a time, a step at a time.
When working from home, find a comfortable working area where you can assume a healthy posture, minimize the distraction from others, and where your presence has the least impact on how others have to behave. Take breaks to stretch your legs, and give your eyes a rest. And if you enjoy WFH, now is the time to prove to your employer that it’s a viable option in the long run.

Stay safe, everyone! Now more than ever."
29,2020-08-04 15:33:39,2020-08-04 15:38:52,Yes,Yes,"Use always VPN connection, be careful against phishing emails and do not provide credentials",Laptop;Smartphone;,No,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Teleconferencing;,Phishing;,No,Disagree,Undecided,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,25-34 years old,Doctorate degree,IT (Information Technology),No,Researcher,No
30,2020-08-04 15:36:47,2020-08-04 15:39:26,Yes,No,No,Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Real-time chatting;Teleconferencing;,None;,No,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,Education & Research,No,Researcher,No
31,2020-08-04 15:44:55,2020-08-04 15:47:15,Yes,No,No,Laptop;Tablet;Smartphone;,Yes,Personal assets,No,Password protection;Automatic screen lock;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,Yes,Nothing of the above;,No,No,None;,No,Disagree,Disagree,Disagree,Undecided,Disagree,Agree,Agree,45-54 years old,Master’s degree,Other,Association ,Manager,No
32,2020-08-04 15:44:18,2020-08-04 15:49:19,Yes,Yes,"Don't use private devices, data protection rules also apply at home.",Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;Hard disk encryption;,Other,remote desktop,Yes,Nothing of the above;,Yes,Project/Workflow/Task management;Teleconferencing;,Phishing;,People trying to force me to use Zoom.,Strongly agree,Undecided,Disagree,Disagree,Strongly disagree,Agree,Undecided,35-44 years old,"High school graduate, diploma or the equivalent",Education & Research,No,Researcher,No
33,2020-08-04 15:55:38,2020-08-04 15:59:35,Yes,Yes,,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Undecided,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Master’s degree,IT (Information Technology),No,Manager,No
34,2020-08-04 16:06:09,2020-08-04 16:08:13,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,35-44 years old,Doctorate degree,Education & Research,No,Manager,No
35,2020-08-04 16:07:32,2020-08-04 16:11:08,No,Yes,"dont give your password, and be careful of the browser",Desktop;,Yes,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;,Using VPN ,No,No,No,No,No,None;,No,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,35-44 years old,Master’s degree,Public Sector,No,Other,No
36,2020-08-04 16:21:07,2020-08-04 16:24:26,Yes,Yes,No,Desktop;Laptop;Smartphone;,No,Personal assets,No,Password protection;Two-factor authentication;Automatic screen lock;Antivirus software installed;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,Yes,Instructions available to the corporate portal or website;Instructions provided via email;,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Real-time chatting;Teleconferencing;,Phishing;,No,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,35-44 years old,Master’s degree,Banking & Financial,No,IT professional,No
37,2020-08-04 16:23:57,2020-08-04 16:27:41,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,25-34 years old,Master’s degree,IT (Information Technology),No,Researcher,No
38,2020-08-04 16:01:56,2020-08-04 16:28:50,Yes,Yes,"Avoid putting in public info about Zoom meetings in public places, authenticate users, etc.",Laptop;,No,Corporate assets,No,Password protection;Antivirus software installed;,Using VPN ,No,No,No,Yes,Teleconferencing;,None;,No,Undecided,Agree,Undecided,Strongly agree,Undecided,Strongly agree,Strongly agree,45-54 years old,Doctorate degree,Education & Research,No,Researcher,No
39,2020-08-04 15:19:47,2020-08-04 16:34:47,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,Yes,Real-time chatting;Teleconferencing;,None;,No,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,25-34 years old,Doctorate degree,Education & Research,No,Researcher,No
40,2020-08-04 16:51:53,2020-08-04 16:54:19,Yes,No,No,Laptop;Smartphone;,No,Corporate assets,No,Password protection;Two-factor authentication;Automatic screen lock;Hard disk encryption;,Using VPN ,No,No,No,Yes,Real-time document co-authoring;Teleconferencing;,Phishing;None;,No,Agree,Agree,Undecided,Agree,Undecided,Agree,Strongly agree,35-44 years old,Doctorate degree,Education & Research,No,Researcher,No
41,2020-08-04 16:51:15,2020-08-04 16:56:58,Yes,No,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Antivirus software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,45-54 years old,Master’s degree,IT (Information Technology),No,Manager,No
42,2020-08-04 16:55:25,2020-08-04 16:59:14,Yes,No,No,Laptop;,No,Corporate assets,No,Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;None of the above;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,None;,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Undecided,Agree,25-34 years old,Master’s degree,IT (Information Technology),No,IT professional,No
43,2020-08-04 17:38:41,2020-08-04 17:41:18,Yes,No,No,Laptop;Tablet;,No,Corporate assets,No,Password protection;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;,None;,No,Disagree,Undecided,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,IT (Information Technology),No,Manager,No
44,2020-08-04 18:07:43,2020-08-04 18:12:52,Yes,No,No,Laptop;Smartphone;,No,Corporate assets,"Yes, partly",Password protection;Antivirus software installed;,Using VPN ,No,Yes,No,No,No,None;,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Master’s degree,Other,trade,Manager,No
45,2020-08-04 18:22:25,2020-08-04 18:26:12,Yes,No,No,Laptop;Smartphone;,No,Personal assets,No,Two-factor authentication;Antivirus software installed;,Direct access,No,No,No,No,No,None;,No,Strongly agree,Undecided,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,Other,Marketing and Communication,Manager,No
46,2020-08-04 18:31:39,2020-08-04 18:34:25,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;,Direct access,No,No,No,No,No,None;,No,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Undecided,Agree,18-24 years old,Bachelor’s degree,Telecommunications,No,Other,No
47,2020-08-04 18:10:39,2020-08-04 19:26:19,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Teleconferencing;,None;,No,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,35-44 years old,Doctorate degree,Education & Research,No,Researcher,No
48,2020-08-04 19:43:06,2020-08-04 19:49:19,Yes,Yes,No,Laptop;Smartphone;,No,Corporate assets,"Yes, fully",Password protection;Two-factor authentication;Automatic screen lock;Antivirus software installed;,Using VPN ,No,Yes,Instructions available to the corporate portal or website;,Yes,Document management;,Phishing;Spyware/Virus infection;,No,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,35-44 years old,Associate degree,Other,Retail,IT professional,No
49,2020-08-04 20:05:57,2020-08-04 20:08:37,Yes,No,No,Laptop;Smartphone;,No,Personal assets,No,Password protection;Antivirus software installed;Antispam software installed;,Direct access,No,No,No,No,No,None;,No,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,35-44 years old,Bachelor’s degree,Other,Sales,Other,No
50,2020-09-04 00:57:54,2020-09-04 01:21:23,Yes,Yes,"Guidelines have been provided independently of Covid-19 since work from home was possible before spring 2020.

- Connect to the corporate network via VPN - if possible - to use the Internet for web browsing to take advantage of the company's security infrastructure

- Protect the information displayed on the screen of your device from their exposure to third parties (""shoulder surfing"")

- Disconnect connections such as Wi-Fi, Bluetooth when not in use.

- Laptops need to be hibernated - and not sleep - when closed to be transferred, so that full disk encryption authentication is enabled.",Laptop;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,No,No,None;,No,Agree,Disagree,Agree,Strongly agree,Agree,Undecided,Strongly agree,35-44 years old,Master’s degree,IT (Information Technology),No,IT professional,"I prefer to work effectively with ALL my colleagues in the office in a few months from now, and let's sacrifice a little efficiency today"
51,2020-09-04 09:20:14,2020-09-04 09:29:17,Yes,Yes,No,Laptop;,No,Corporate assets,"Yes, fully",Two-factor authentication;Hard disk encryption;Antivirus software installed;,Using VPN ,No,No,No,Yes,Scheduling;Real-time chatting;Teleconferencing;,None;,No,Undecided,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,25-34 years old,Master’s degree,Telecommunications,No,Other,No
52,2020-09-04 10:16:23,2020-09-04 10:50:17,Yes,No,No,Desktop;,No,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;Hard disk encryption;Antivirus software installed;,Direct access,No,No,No,Yes,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,None;,No,Undecided,Undecided,Agree,Agree,Undecided,Disagree,Agree,55-64 years old,Master’s degree,IT (Information Technology),No,IT professional,No
53,2020-09-04 11:55:48,2020-09-04 11:58:54,Yes,No,No,Laptop;,No,Corporate assets,"Yes, partly",Password protection;Antivirus software installed;,No Access,No,No,No,No,No,Phishing;,No,Strongly agree,Undecided,Agree,Agree,Undecided,Agree,Undecided,35-44 years old,Master’s degree,EPES (Electrical Power & Energy Systems),No,IT professional,No
54,2020-09-04 12:02:50,2020-09-04 12:05:14,Yes,No,No,Desktop;Laptop;,No,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;,Using VPN ,No,No,No,No,No,Phishing;,No,Undecided,Undecided,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,18-24 years old,Bachelor’s degree,IT (Information Technology),No,Researcher,No
55,2020-09-04 11:54:49,2020-09-04 12:14:30,Yes,Yes,HR team gave us all needed information regarding the rules we have to be align with in order to be safe and to reduce the possibility of spread the virus (even if we work from home) ,Desktop;Laptop;,No,Corporate assets,No,None of the above;,Direct access,No,No,No,No,No,None;,No,Undecided,Undecided,Agree,Agree,Agree,Undecided,Agree,18-24 years old,Bachelor’s degree,Other,R&D,Researcher,No
56,2020-09-04 12:10:47,2020-09-04 12:25:19,No,No,No,Laptop;Smartphone;,No,Personal assets,No,Password protection;Antivirus software installed;,Other,"mail, portable USB",No,No,No,No,None;,No,Strongly agree,Undecided,Agree,Disagree,Agree,Agree,Agree,35-44 years old,Master’s degree,Public Sector,No,Other,No
57,2020-09-04 12:54:25,2020-09-04 12:58:12,Yes,No,No,Laptop;Smartphone;,Yes,Corporate assets,"Yes, fully",Password protection;Hard disk encryption;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;,None;,No,Agree,Strongly agree,Strongly agree,Undecided,Strongly agree,Undecided,Strongly agree,25-34 years old,Bachelor’s degree,IT (Information Technology),No,Other,No
58,2020-09-04 13:08:06,2020-09-04 13:12:31,No,No,No,Laptop;Smartphone;,Yes,Corporate assets,"Yes, partly",Password protection;Automatic screen lock;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,No,No,None;,No,Undecided,Agree,Disagree,Agree,Agree,Undecided,Agree,25-34 years old,Master’s degree,Other,Digital Marketing and Advertising,Other,No
59,2020-09-04 13:15:55,2020-09-04 13:20:01,Yes,No,No,Laptop;,No,Corporate assets,"Yes, fully",Password protection;Antivirus software installed;,Using VPN ,No,Yes,Instructions available to the corporate portal or website;,Yes,Teleconferencing;,None;,No,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,45-54 years old,Master’s degree,IT (Information Technology),No,IT professional,No
60,2020-09-04 17:02:30,2020-09-04 17:03:41,Yes,No,No,Laptop;,No,Personal assets,No,Password protection;Automatic screen lock;Antivirus software installed;Antispam software installed;,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",No,No,No,No,No,Phishing;Data loss;,No,Agree,Agree,Undecided,Disagree,Strongly disagree,Undecided,Strongly disagree,55-64 years old,Bachelor’s degree,Banking & Financial,No,Other,No
61,2020-09-04 17:34:14,2020-09-04 17:39:29,Yes,Yes,No,Desktop;,No,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Antivirus software installed;,Using VPN ,No,Yes,Instructions provided via email;,No,No,Phishing;Hacking;,No,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,45-54 years old,Master’s degree,IT (Information Technology),No,IT professional,No
62,2020-09-04 17:40:52,2020-09-04 17:43:28,Yes,Yes,No,Laptop;,Yes,Personal assets,No,None of the above;,Other,I don't want to describe,No,No,Yes,Other;,None;,No,Agree,Agree,Agree,Agree,Agree,Undecided,Strongly agree,75 years or older,Trade/technical/vocational training,Other,don't know,Other,No
63,2020-09-04 17:43:10,2020-09-04 17:46:02,Yes,Yes,"Use of VPN, security policy",Desktop;Laptop;Tablet;Smartphone;,No,Personal assets,No,Password protection;Two-factor authentication;Automatic screen lock;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,Yes,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,Ransomware;Hacking;,No,Disagree,Undecided,Disagree,Agree,Agree,Agree,Strongly agree,35-44 years old,Doctorate degree,Education & Research,No,Manager,No
64,2020-09-04 17:50:42,2020-09-04 17:53:38,Yes,No,No,Desktop;,No,Personal assets,No,Password protection;,Using VPN ,No,No,No,No,No,Ransomware;,No,Agree,Agree,Disagree,Strongly agree,Undecided,Strongly agree,Strongly agree,25-34 years old,Master’s degree,Education & Research,No,Researcher,No
65,2020-09-04 18:42:06,2020-09-04 18:51:32,Yes,Yes,Use VPN,Desktop;Laptop;,No,Corporate assets,"Yes, fully",Password protection;Automatic screen lock;Antivirus software installed;,Using VPN ,No,No,No,No,No,None;,No,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34 years old,Master’s degree,IT (Information Technology),No,IT professional,No
66,2020-09-04 19:27:00,2020-09-04 19:32:06,No,Yes,"Increase security of wireless network (WPA and password)
Extra careful with emails
Use of VPN connection only for work purposes",Laptop;,No,Corporate assets,"Yes, fully",Password protection;Hard disk encryption;Antivirus software installed;Antispam software installed;,Using VPN ,No,No,No,No,No,None;,No,Strongly disagree,Strongly disagree,Undecided,Agree,Strongly agree,Strongly agree,Strongly agree,35-44 years old,Doctorate degree,Banking & Financial,No,Other,No
